"input"	"briefDescription"
"WBGene00006491"	"acl-3 encodes a glycerol-3-phosphate acyltransferase that is orthologous to human tafazzin (TAZ; OMIM:300394, mutated in Barth syndrome); by homology, ACL-3 is predicted to be a mitochondrial protein that plays a role in triacylglycerol metabolism; acl-3 expression shows some degree of dauer-specific induction."
"WBGene00006463"	"T26A5.3 encodes a predicted mitochondrial protein whose mature sequence has near-identity (95%) to GAS-1; T26A5.3 transcription is detectable by RT-PCR, but not visible by promoter-GFP fusion; however, a transgene containing a fusion of the gas-1 promoter to the T26A5.3 protein-coding sequence is able to fully rescue gas-1 mutants, indicating that T26A5.3 encodes a fully functional mitochondrial 49 kDa subunit that may rescue gas-1(fc21) mutants from lethality; mutants homozygous for a T26A5.3 deletion have normal anesthetic sensitivity and normal sensitivity to oxygen (unlike gas-1 mutants) but a shortened lifespan at normal laboratory oxygen levels (20%); animals doubly mutant for gas-1 and T26A5.3 have maternal-effect lethality, but sterile surviving parents are abnormally long-lived (2.7 times longer than wild-type and 4.2 times longer than gas-1 mutants); double mutants remain hypersensitive to oxygen."
"WBGene00006448"	"glod-4 encodes a glyoxalase required for normal lifespan, orthologous to  human GLOD4; GLOD-4 is expressed in the larval and adult pharynx,  pharyngeal-intestinal valve, intestine, anal sphincter, seam cells,  amphids, and neurons, and in the adult reproductive system;  overexpression of GLOD-4 increases glyoxalase activity 200-fold, reduces  oxidative stress markers, and extends lifespan, probably by removing  methylglyoxal from mitochondrial proteins, while glod-4(RNAi) animals  exhibit increased methylglyoxalation of mitochondrial proteins and  reduced lifespan; GLOD-4 activity normally decreases in vivo with age,  despite unchanged levels of glod-4 mRNA."
"WBGene00006439"	"ant-1.1 encodes one of four C. elegans mitochondrial adenine nucleotide transporters; by homology, ANT-1.1 is predicted to facilitate ADP/ATP exchange between the cytosol and mitochondria; ant-1.1 is an essential gene, required for embryogenesis as well as for normal postembryonic body size and adult lifespan; in addition, ANT-1.1 plays a critical role in promoting somatic and germline programmed cell death (PCD); ANT-1.1 physically interacts with CED-4 and CED-9, and the latter interaction is disrupted by the presence of EGL-1; biochemical analyses also indicate that ANT-1.1 is able to dimerize, suggesting that ANT-1.1 functions as a dimer or oligomer to regulate PCD; an ANT-1.1::GFP fusion protein is widely expressed and localizes to mitochondria."
"WBGene00006433"	"sdhb-1 encodes the C. elegans ortholog of human succinate dehydrogenase subunit B (SDHB; OMIM:185470, mutations lead to extraadrenal pheochromocytoma) which contains several iron-sulfur (Fe-S) clusters and functions to transfer electrons from the A (SDHA) subunit to the membrane-associated C (SDHC) subunit; RNAi screens indicate that sdhb-1 activity is essential for embryonic and larval development, as well as for normal brood sizes, body morphology, osmoregulation, and growth rate; in addition, transgenic animals expressing SDHB-1 variants at the conserved Pro211 residue exhibit various phenotypes, including hypersensitivity to oxidative stress, reduced life span, impaired respiration and excess superoxide production; sdhb-1 is widely expressed in larvae and adults and SDHB-1 localizes to mitochondria."
"WBGene00002045"	"icd-1 encodes the C. elegans ortholog of the beta-subunit of the nascent polypeptide-associated complex (betaNAC); during development, icd-1 activity is required for prevention of ced-4-dependent, but ced-3-independent, programmed cell death and for normal embryonic development; ICD-1 is widely expressed throughout development and colocalizes primarily with mitochondria."
"WBGene00002025"	"hsp-60 encodes a nuclear-encoded mitochondrion-specific chaperone that is a member of the GroE/Hsp10/60 superfamily of molecular chaperones; hsp-60 is involved in the mitochondrial unfolded protein response, as hsp-60 expression, normally broadly detected during development, is greatly increased in response to treatments that disrupt mitochondrial protein handling; loss of hsp-60 activity via RNAi results in severe growth defects with arrest at embryonic and early larval stages of development."
"WBGene00004258"	"pyc-1 encodes the C. elegans pyruvate carboxylase ortholog; by homology, PYC-1 is predicted to function as a key regulatory enzyme of gluconeogenesis, lipogenesis, and anaplerosis, localizing to the mitochondrial matrix and catalyzing the formation of oxaloacetate from pyruvate and carbonate; pyc-1 expression is induced upon exposure of C. elegans to cadmium."
"WBGene00004248"	"pus-1 encodes a putative tRNA pseudouridine synthase that is predicted, by phylogenetic profiling, to be mitochondrial."
"WBGene00002010"	"hsp-6 encodes a nuclear-encoded mitochondrion-specific chaperone that is a member of the DnaK/Hsp70 superfamily of molecular chaperones; hsp-6 is involved in the mitochondrial unfolded protein response, as hsp-6 expression, normally broadly detected from the L1 larval through adult stages of development, is greatly increased in response to treatments that disrupt mitochondrial protein handling; loss of hsp-6 activity via RNAi results in severe growth defects with arrest at embryonic and early larval stages of development; loss of hsp-6 via RNAi in young adult hermaphrodites results in abnormal mitochondrial membrane potential and morphology, accompanied by reduction of ATP levels and reduced levels of mitochondrial proteins ATP-2, HSP-60, and CLK-1; in addition, hsp-6(RNAi) of adults disrupts gonadal function, motility, and pharyngeal pumping, as well as resulting in reduced lifespan; an HSP-6::GFP fusion protein localizes to mitochondria; HSP-6 levels are markedly reduced in aged worms."
